x	y	RR	N_pairs	N_x	N_y	N_total
04y	84y	0.6893269283847154	185	109784	51403	21027180
04y	85y	0.6442340511447009	172	109784	51136	21027180
04y	86y	0.6512396060387013	144	109784	42351	21027180
04y	87y	0.7907615537323937	193	109784	46747	21027180
04y	88y	0.7123994673947293	145	109784	38984	21027180
04y	89y	0.6087170367497209	114	109784	35870	21027180
04y	90y	0.6742116103493966	132	109784	37499	21027180
04y	91y	0.4869074459915864	74	109784	29109	21027180
04y	92y	0.5293541419567631	62	109784	22433	21027180
04y	93y	0.4342688033719745	44	109784	19406	21027180
04y	94y	0.7240644313283621	63	109784	16665	21027180
04y	95y	0.5356201771390443	39	109784	13946	21027180
04y	96y	0.6415980088606131	42	109784	12538	21027180
04y	97y	0.5121184009374817	24	109784	8976	21027180
04y	98y	0.5034526883926657	16	109784	6087	21027180
04y	99y+	0.6080032457790481	54	109784	17011	21027180
05y	00y	0.9648146091902962	94	121257	16895	21027180
05y	01y	1.3521581861350638	794	121257	101828	21027180
05y	02y	1.599805912377865	824	121257	89317	21027180
05y	03y	1.7388581988476899	1016	121257	101322	21027180
05y	04y	1.4768853202542807	935	121257	109784	21027180
